Input file=/zeus/d2/users/lang/metdata/chi/archive/chi2013.04t.txt
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2013
Min WS=      0.00000  Max WS=      25.0200
Min WD=      0.00000  Max WD=      360.000
Min AT=     -17.9900  Max AT=      33.3400

 Daily Averages
 DOY    WS    WD    AT     n
   1   6.69  328  -6.30  288
   2   6.99  251  -7.15  288
   3   9.12  249  -3.31  288
   4   9.04  249  -4.45  288
   5   7.23  224  -0.66  288
   6   9.23  257  -0.10  288
   7   9.12  217  -2.16  288
   8   8.54  188   0.46  288
   9  11.94  239   4.86  288
  10   4.69  148   2.46  288
  11   8.52  178   7.05  288
  12  11.34  222   8.99  288
  13   2.67  310  -1.93  288
  14   4.03  277  -8.24  288
  15   3.85  266  -4.37  288
  16   7.36  238  -2.00  288
  17   7.67  310  -1.27  288
  18   9.51  234  -1.94  288
  19  13.99  219   5.09  288
  20  11.07  286  -4.80  291
  21   9.93  285 -11.16  288
  22   8.44  284 -15.18  288
  23   6.88  261 -10.52  288
  24   9.07  304  -9.41  288
  25   7.91  188  -6.20  288
  26   6.43  321  -5.89  288
  27   8.19  158  -2.84  288
  28   7.88  203   4.86  288
  29  10.51  180  10.31  288
  30   6.28  325   3.72  288
  31  12.19  282  -7.47  288
  32  10.15  269 -14.05  288
  33   8.18  251  -8.02  288
  34   6.63  281  -9.42  288
  35   5.03  127  -4.67  288
  36   6.34  264  -4.68  288
  37   5.40  258  -1.56  288
  38   5.47  135   0.18  288
  39  10.86  337  -2.05  288
  40   4.75  241  -1.80  288
  41   8.08  159   1.76  288
  42  15.31  237   3.57  288
  43   8.54  272  -2.52  288
  44   5.65  215   0.16  288
  45   9.31  245   3.28  288
  46   7.46  333  -1.84  288
  47   7.84  309  -7.33  288
  48   5.44  294  -7.52  288
  49  12.29  178   2.24  288
  50  14.70  260  -4.68  288
  51   8.39  312  -9.80  288
  52   6.61  017  -4.00  288
  53   9.96  135  -2.47  288
  54   7.71  247  -2.91  288
  55   5.72  255  -2.59  288
  56   3.58  132  -0.15  284
  57  11.14  056   0.75  288
  58   7.27  342   0.16  288
  59  12.00  336   0.06  233
  60  11.18  351  -1.79  288
  61   9.92  349  -2.57  288
  62   5.93  331  -4.05  288
  63   4.77  068  -2.31  288
  64   8.41  080  -0.60  288
  65   9.97  350  -0.60  288
  66   4.74  336  -0.41  288
  67   4.66  117  -0.11  288
  68   7.09  150   1.15  288
  69   6.93  159   5.79  288
  70   7.87  212   6.24  288
  71   9.15  262   0.22  288
  72   9.61  300  -2.66  288
  73   5.27  254  -1.03  288
  74   5.20  223   1.30  288
  75   7.99  007  -0.02  288
  76   7.43  022  -1.19  288
  77   7.94  118  -0.40  288
  78  14.36  267  -4.48  288
  79  10.42  284  -5.90  288
  80   6.99  318  -6.10  288
  81   4.48  341  -2.51  288
  82   3.46  024  -0.46  288
  83   9.33  055   0.24  288
  84  12.72  011   0.50  288
  85   6.70  340   0.82  288
  86   3.97  317   2.19  288
  87   3.81  279   2.54  288
  88   2.03  118   3.86  288
  89   4.71  162   4.43  288
  90   8.50  253   9.18  288
  91   8.31  327   1.60  288
  92   6.56  324   0.21  288
  93   4.35  038   0.75  288
  94   4.70  171   4.16  288
  95   7.41  355   4.80  288
  96   9.24  134   6.68  288
  97   9.47  242   9.23  288
  98   9.36  103   7.82  288
  99   5.93  027   3.64  288
 100   9.61  003   3.39  288
 101   7.44  060   4.06  288
 102   7.48  252   4.68  288
 103   9.24  264   3.54  288
 104   7.14  087   5.13  288
 105  11.84  196  13.73  288
 106   5.02  353   5.87  288
 107   7.62  043   4.71  288
 108   7.75  153  10.74  288
 109  12.71  244   4.88  288
 110   7.83  308   1.51  288
 111   7.51  117   3.53  288
 112   8.15  143   8.28  288
 113   6.47  179  10.21  288
 114   7.82  012   3.33  288
 115   8.30  249   7.18  288
 116   8.02  192  10.34  288
 117   6.00  164  11.72  288
 118   3.12  047   8.04  288
 119   6.15  186  13.01  288
 120  12.03  184  18.37  288
 121   8.49  159  20.94  288
 122   9.45  005   7.92  288
 123  10.33  359   4.56  288
 124   4.67  004   8.79  288
 125   5.76  345   8.48  288
 126   6.00  342   8.57  288
 127   4.26  340   9.55  288
 128   1.78  064  11.14  288
 129   3.49  147  14.63  288
 130  10.88  344   6.72  288
 131   6.99  306   8.24  288
 132   7.69  338   6.39  288
 133   5.69  102   6.54  288
 134   7.26  162  15.05  288
 135   7.24  224  20.40  288
 136   2.43  132  16.61  288
 137   3.70  005  11.33  288
 138   3.74  085  13.24  288
 139   3.06  130  15.99  288
 140   8.84  181  22.73  288
 141   9.91  202  21.53  288
 142   5.76  202  19.33  288
 143  12.77  350   8.51  288
 144   8.70  013   6.30  288
 145   2.86  015   7.89  288
 146   3.41  035  10.13  288
 147   6.57  095  11.44  288
 148   8.51  176  17.40  288
 149   6.60  183  18.69  288
 150  10.76  186  22.84  288
 151   9.56  190  20.38  288
 152   9.72  198  20.11  288
 153   6.80  333  13.04  288
 154   2.78  090  10.63  288
 155   3.49  095  13.55  288
 156   5.80  044  13.53  288
 157   5.70  023  12.69  288
 158   6.70  357  11.57  288
 159   2.96  354  14.45  288
 160   4.60  078  16.15  288
 161   4.30  042  16.77  288
 162   3.76  163  17.77  288
 163   4.07  100  18.91  288
 164   9.28  352  15.10  288
 165   6.81  001  13.05  288
 166   3.71  141  16.48  288
 167   6.91  228  22.89  288
 168   3.49  252  25.03  288
 169   8.77  354  13.81  288
 170   4.60  038  14.91  288
 171   4.13  102  17.91  288
 172   7.44  166  21.89  288
 173   6.15  183  21.44  288
 174   7.02  190  23.37  288
 175   7.20  199  23.14  288
 176   5.61  189  21.61  288
 177   6.44  173  21.62  288
 178   3.76  329  20.61  288
 179   5.97  302  22.84  288
 180   7.65  350  17.64  288
 181   9.42  003  16.83  288
 182   8.64  001  17.16  288
 183   7.74  015  16.59  288
 184   4.95  001  15.79  288
 185   5.28  166  19.53  288
 186   5.79  158  21.39  288
 187   4.76  154  22.56  288
 188   5.50  197  24.44  288
 189   8.11  215  25.51  288
 190   4.87  241  24.09  288
 191   6.02  297  24.52  288
 192   3.13  355  20.28  288
 193   3.75  012  19.94  288
 194   3.42  099  21.22  288
 195   5.93  074  22.37  288
 196   2.89  063  23.49  288
 197   4.70  161  26.32  288
 198   4.70  212  28.38  288
 199   4.59  242  29.95  288
 200   9.53  231  30.12  288
 201   5.98  325  24.42  288
 202   5.43  073  23.58  288
 203   6.72  125  23.20  288
 204   8.17  301  23.02  288
 205   8.57  031  17.93  285
 206   3.36  074  19.58  288
 207   7.72  200  21.30  288
 208   7.08  297  17.72  288
 209   7.46  271  15.61  288
 210   5.40  319  17.59  288
 211   3.91  134  19.40  288
 212   3.62  093  19.75  288
 213   4.38  307  20.15  288
 214   4.74  186  21.33  288
 215   5.51  009  21.17  288
 216   4.23  042  19.46  288
 217   6.03  153  19.88  288
 218   5.74  187  21.96  285
 219   6.34  208  24.47  288
 220   7.28  031  20.47  288
 221   3.59  049  20.97  288
 222   3.97  024  21.89  288
 223   2.78  069  21.21  288
 224   5.92  233  23.60  283
 225   7.86  009  18.70  288
 226   5.89  027  17.42  288
 227   5.04  182  18.85  288
 228   2.80  200  20.47  288
 229   3.20  075  20.97  288
 230   3.82  079  21.09  288
 231   3.75  145  22.09  288
 232   4.58  195  24.74  288
 233   6.13  207  26.22  288
 234   7.43  237  23.39  288
 235   4.93  026  21.22  288
 236   5.50  099  21.67  288
 237   6.70  194  24.73  288
 238   6.66  220  26.66  288
 239   7.95  235  28.71  288
 240   7.66  311  24.19  288
 241   1.89  043  20.75  288
 242   4.63  199  25.65  288
 243   4.91  027  21.85  288
 244   3.65  020  22.05  288
 245   6.48  007  21.39  288
 246   5.57  011  18.68  288
 247   4.11  224  21.06  288
 248   5.69  060  20.60  290
 249   6.08  129  20.50  285
 250   6.38  192  23.64  288
 251   6.57  051  22.03  288
 252   6.67  148  23.53  288
 253   8.85  234  30.18  288
 254   6.77  244  26.52  288
 255   5.26  014  22.35  288
 256  11.50  357  16.33  288
 257   6.05  138  15.99  288
 258   5.79  181  16.76  288
 259   8.44  024  14.96  288
 260   7.16  117  15.78  288
 261   7.33  161  19.72  288
 262   9.01  156  20.51  288
 263   7.70  227  21.95  288
 264   8.35  316  15.67  288
 265   5.93  356  14.75  288
 266   5.35  087  14.20  288
 267   7.72  120  15.97  288
 268   6.32  069  16.94  288
 269   5.35  088  17.76  288
 270   5.86  121  18.92  288
 271   8.63  156  20.18  288
 272   7.68  323  17.43  288
 273   3.07  084  16.44  288
 274   8.55  195  19.72  288
 275   5.18  337  19.94  288
 276   5.01  165  19.47  288
 277   6.42  169  20.13  288
 278   5.69  165  20.78  288
 279   6.79  225  15.46  288
 280   7.39  265  11.29  288
 281   5.35  157  15.11  288
 282   5.38  141  15.89  288
 283   3.86  123  16.03  288
 284   6.04  129  16.87  288
 285   6.62  178  17.84  288
 286   5.62  324  14.04  288
 287   6.10  054  13.74  288
 288   9.17  154  14.72  288
 289   8.24  246  11.66  288
 290   6.46  258  10.22  288
 291   7.17  238   9.28  288
 292   6.93  253   8.79  288
 293   6.19  213  10.09  288
 294   8.56  255  10.49  288
 295   6.23  268   3.76  288
 296   7.26  297   4.42  288
 297   7.36  295   3.98  288
 298   7.36  261   4.96  288
 299  11.84  243   8.78  288
 300   6.14  261   8.02  288
 301   7.24  347   9.38  288
 302   6.81  093   8.55  288
 303   5.07  150  11.18  288
 304   8.19  187  15.54  288
 305  10.50  260   8.63  288
 306   6.15  302   6.93  288
 307   5.40  331   7.01  288
 308  12.19  157   9.34  288
 309   7.92  185  11.50  288
 310  12.48  208  11.08  288
 311   7.79  282   4.17  288
 312   6.60  249   3.79  288
 313  13.48  221  10.10  288
 314   8.67  280   6.47  288
 315   9.60  260   6.01  288
 316  10.14  317  -1.33  288
 317   9.04  241  -1.46  288
 318  12.81  203   3.69  288
 319   9.98  202   6.76  288
 320  10.81  177   8.74  288
 321  14.43  198  14.58  288
 322  13.87  275   5.20  288
 323   5.00  345   1.16  288
 324  10.30  155   3.87  345
 325   6.13  177   7.30  288
 326   8.80  340   4.04  288
 327   9.81  302  -3.18  288
 328   7.94  282  -7.34  288
 329  10.96  208  -3.09  288
 330   7.56  264  -0.01  288
 331   9.85  314  -5.93  288
 332   7.15  246  -2.92  288
 333   5.07  317  -2.14  288
 334   9.29  184   2.97  288
 335   6.19  300   3.81  288
 336   3.97  088   2.91  288
 337   7.18  140   4.18  288
 338   6.99  156   7.73  288
 339  10.52  254   1.76  288
 340   5.81  302  -6.52  288
 341   5.79  316  -9.95  288
 342   6.50  054  -5.80  288
 343   9.82  239  -5.49  288
 344  10.76  246 -11.37  288
 345   7.03  280  -8.71  288
 346   8.74  249 -12.53  288
 347   4.06  195  -4.73  288
 348   8.35  077  -1.63  288
 349   9.08  279  -6.95  288
 350   4.24  284  -9.31  288
 351   8.83  248  -4.96  288
 352   9.17  244  -3.62  288
 353   7.00  204   1.88  288
 354   4.32  007   1.52  288
 355   5.06  341   0.17  288
 356   8.08  359   0.18  288
 357   7.65  266  -6.16  288
 358   7.47  248 -14.43  288
 359  10.14  192  -6.11  288
 360   7.46  241  -4.48  288
 361   6.63  219   1.84  288
 362  10.78  213   5.55  288
 363  10.13  256   1.51  288
 364   5.14  292 -11.50  288
 365   6.52  268 -12.43  286
