DOY,WS,WD,AT,n
1,8.47,038,-7.09,288
2,11.58,039,-6.94,288
3,8.89,252,-12.01,288
4,15.22,195,-4.12,288
5,12.42,331,-4.14,288
6,13.56,280,-21.57,288
7,10.33,250,-21.03,288
8,4.79,250,-12.10,288
9,4.77,147,-9.13,288
10,7.39,171,-0.99,288
11,9.82,235,2.97,288
12,10.29,221,0.30,288
13,11.20,216,5.95,288
14,9.94,232,-0.25,288
15,9.26,274,-6.63,288
16,11.92,200,-3.90,288
17,8.76,268,-7.85,288
18,7.75,206,-8.80,288
19,8.78,235,-5.09,288
20,7.16,329,0.21,288
21,12.26,349,-9.61,288
22,6.95,249,-13.31,288
23,11.13,296,-15.12,288
24,13.56,228,-13.86,288
25,12.82,269,-5.17,288
26,10.01,234,-8.92,288
27,12.57,281,-14.78,288
28,8.02,262,-19.66,288
29,9.34,243,-11.99,288
30,16.13,194,-3.94,288
31,5.30,305,-4.10,288
32,4.87,069,-3.08,288
33,5.92,323,-6.57,288
34,3.28,308,-9.13,288
35,3.61,335,-7.09,288
36,11.65,020,-5.22,288
37,6.85,274,-12.68,288
38,8.21,250,-14.91,288
39,5.58,200,-11.21,288
40,5.81,279,-9.08,288
41,6.43,297,-12.82,288
42,5.33,265,-13.08,288
43,7.13,184,-10.76,288
44,7.15,185,-4.95,288
45,7.94,288,-6.27,288
46,6.10,283,-7.85,288
47,7.31,294,-6.81,288
48,9.47,128,-5.06,288
49,9.72,231,-0.23,288
50,7.55,240,4.33,288
51,6.52,123,1.55,288
52,15.69,232,1.18,288
53,10.02,253,-1.35,288
54,7.30,283,-4.69,288
55,9.18,277,-7.47,288
56,7.70,284,-7.50,288
57,10.12,269,-13.31,288
58,10.28,300,-11.76,288
59,7.14,183,-10.40,288
60,7.60,329,-4.36,288
61,9.28,338,-11.93,288
62,6.19,006,-13.24,288
63,4.31,186,-8.94,288
64,6.20,055,-6.55,288
65,5.32,083,-7.39,288
66,6.33,176,-1.93,288
67,8.38,346,-0.34,288
68,5.50,223,-2.12,288
69,11.96,237,7.71,288
70,5.89,304,6.06,288
71,13.70,360,-2.38,288
72,8.21,241,-4.67,288
73,14.05,217,5.96,288
74,7.87,320,1.69,288
75,11.89,034,-5.39,288
76,7.26,094,-5.02,288
77,7.28,141,1.03,288
78,7.56,203,4.79,288
79,6.75,269,1.47,288
80,5.88,129,1.94,288
81,7.82,319,4.32,288
82,7.78,006,-4.05,288
83,3.89,109,-4.24,288
84,8.40,288,-2.82,288
85,5.84,264,-3.56,288
86,13.55,181,3.62,288
87,10.29,238,5.23,288
88,7.80,022,0.22,288
89,4.80,045,2.05,288
90,9.60,171,9.23,288
91,12.58,223,6.89,288
92,7.11,352,3.17,288
93,8.94,045,2.01,288
94,9.94,188,3.65,288
95,7.06,320,2.17,288
96,6.18,153,5.32,288
97,4.18,025,3.97,288
98,3.98,316,6.74,288
99,3.62,342,6.94,288
100,10.90,218,13.12,288
101,3.81,223,10.56,288
102,8.65,192,15.52,288
103,8.93,203,13.70,288
104,11.76,330,6.99,288
105,8.42,358,-1.63,288
106,8.39,164,3.14,288
107,9.20,187,8.97,288
108,6.07,009,5.54,288
109,5.22,041,4.01,288
110,6.79,149,10.99,288
111,6.89,198,17.31,288
112,7.38,356,8.57,288
113,5.92,011,3.20,288
114,7.21,092,6.80,288
115,6.49,349,10.74,288
116,7.30,351,8.65,288
117,9.65,065,5.63,288
118,7.69,089,7.67,288
119,5.01,073,9.15,288
120,6.42,199,10.47,288
121,9.30,221,7.67,288
122,7.46,249,8.96,288
123,10.17,251,12.41,288
124,6.85,337,11.06,288
125,8.16,058,6.34,288
126,8.12,039,6.65,288
127,7.54,083,10.44,288
128,7.32,177,19.39,288
129,11.35,204,20.29,288
130,5.03,213,15.79,288
131,5.60,143,17.01,288
132,8.67,171,19.63,288
