Input file=chi2019.04t.txt
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2019
Min WS=      0.00000  Max WS=      24.0000
Min WD=      0.00000  Max WD=      360.000
Min AT=     -99.0000  Max AT=      34.7000

 Daily Averages
 DOY    WS    WD    AT     n
   1   9.27  339   0.59  720
   2   5.30  257  -1.05  720
   3   7.76  232   0.19  720
   4   7.10  222   4.54  720
   5   5.32  270   6.32  720
   6   6.81  036   4.94  720
   7  10.88  160   6.27  720
   8   9.03  260   6.48  720
   9  10.90  304  -4.02  720
  10   6.49  306  -6.39  720
  11   3.79  229  -2.15  720
  12   7.02  121  -0.40  720
  13  10.06  057  -0.66  720
  14   4.61  302  -1.88  720
  15   7.22  250  -2.54  720
  16   6.80  316   0.32  720
  17   3.75  104  -0.34  720
  18   5.93  339  -0.14  720
  19  13.22  055  -1.98  720
  20  13.03  340  -7.57  720
  21   7.11  191  -9.66  720
  22   9.75  169  -5.33  720
  23   6.03  254  -0.03  720
  24   7.11  272  -6.17  720
  25  10.04  262 -14.96  720
  26   5.49  268 -13.24  720
  27   6.08  278 -12.78  720
  28   9.85  187  -5.21  720
  29  11.20  273 -12.93  711
  30  12.28  266 -24.12  720
  31   7.30  263 -23.25  711
  32   3.56  146 -12.62  720
  33   8.70  188  -1.76  720
  34   9.70  198   6.56  720
  35   9.69  205   9.59  720
  36   6.16  343  -0.25  720
  37   4.86  024   1.12  720
  38   6.03  066   2.15  720
  39  14.12  264 -10.91  720
  40   5.42  297  -9.80  720
  41   6.01  137  -3.56  720
  42   5.77  083  -1.34  720
  43   3.86  056   0.44  720
  44  12.48  260  -5.34  720
  45   9.41  196   3.11  720
  46   9.59  273  -3.60  720
  47   5.71  340  -4.91  720
  48   7.83  090  -2.74  720
  49   4.98  026  -2.47  711
  50   3.27  334  -3.23  720
  51   7.84  121   0.08  720
  52   8.91  258   0.54  720
  53   4.41  002  -0.72  712
  54   5.74  094   1.24  720
  55  14.13  236   2.46  720
  56  10.53  284  -9.00  726
  57   6.42  028  -5.98  720
  58   5.52  084  -3.23  711
