Input file=../chi/archive/chi2021.04t.txt
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2021
Min WS=      0.00000  Max WS=      25.6000
Min WD=      0.00000  Max WD=      360.000
Min AT=     -20.2000  Max AT=      33.7000

 Daily Averages
 DOY    WS    WD    AT     n
   1   7.35  092  -0.58  719
   2   7.06  351   0.66  719
   3   4.37  291   0.54  719
   4   6.39  202  -2.24  719
   5   4.75  305  -0.27  719
   6   2.05  318   0.82  719
   7   5.88  057   2.82  719
   8   8.83  031   1.53  719
   9   6.63  344   0.02  719
  10   3.45  298  -0.80  719
  11   7.03  246  -3.49  719
  12   8.31  213  -0.36  719
  13   7.45  194   2.29  719
  14   7.24  179   2.97  719
  15   6.66  174   1.90  719
  16   5.81  253   1.09  719
  17   5.08  265   0.41  719
  18   5.89  268  -1.47  719
  19   6.87  263  -3.25  719
  20   9.36  252  -4.49  719
  21  11.34  245   2.39  719
  22   8.71  300  -4.79  719
  23   5.14  260  -6.41  719
  24   6.07  164  -0.97  719
  25   7.40  015   0.03  719
  26  12.50  041  -0.29  719
  27   9.86  345  -2.43  719
  28   7.18  324  -6.26  719
  29   3.80  172  -3.58  719
  30  11.85  132  -0.24  719
  31  13.78  071  -0.56  719
  32  10.92  346  -0.39  719
  33   8.33  323  -1.52  727
  34   4.81  285  -1.78  719
  35   9.32  174  -0.03  719
  36  13.76  256  -7.88  719
  37   9.16  263 -11.87  719
  38   7.45  284 -16.01  719
  39   2.53  309 -13.35  719
  40   6.51  327 -11.21  719
  41   6.35  320 -10.26  719
  42   8.09  349  -7.76  719
  43   5.98  351  -7.88  719
  44   7.31  311 -12.27  719
  45   7.87  314 -16.67  719
  46  10.55  344 -12.56  719
  47   7.74  331  -9.60  719
  48   3.90  243  -8.53  719
  49   2.86  178  -7.60  719
  50   6.17  277  -7.74  719
  51   5.30  241  -6.92  719
  52   7.58  164  -3.02  719
  53  10.46  231   0.44  719
  54   8.87  240   5.12  719
  55   9.64  243   5.38  719
  56   4.27  286   2.00  719
  57   5.98  173   1.40  719
  58   5.21  180   4.17  719
  59   7.70  162   4.97  719
  60   8.49  318  -0.07  719
  61   6.61  230  -0.34  719
  62   7.07  237   5.14  719
  63   7.43  356   0.84  719
  64   5.02  006   1.04  719
  65   2.78  046   1.87  719
  66   4.09  149   1.18  719
  67  10.05  218  10.53  719
  68   6.23  171  11.44  719
  69  13.43  192  14.18  719
  70  13.74  236  12.94  719
  71   5.64  301   5.92  719
  72   3.31  124   3.61  719
  73   8.00  327   7.06  719
  74  12.44  089   1.44  719
  75   4.53  060   1.23  719
  76   5.34  047   1.60  719
  77  13.78  015   3.24  719
  78   9.05  026   2.42  719
  79   3.90  107   3.60  719
  80   5.21  163   7.88  719
  81   8.20  179  12.55  719
  82   5.96  144  10.16  719
  83  11.25  180  11.29  719
  84   6.51  334   7.18  719
  85   8.86  017   2.52  719
  86   4.57  102   5.65  719
  87  11.35  282   8.35  719
  88   8.24  177   6.35  719
  89  14.42  206  13.53  719
  90   9.20  287   5.53  719
  91  10.08  347  -0.27  719
  92   4.64  105   2.41  719
  93  10.16  212  10.63  719
  94   4.28  157  13.82  719
  95   6.73  177  15.82  719
  96   7.83  202  20.01  719
  97   7.62  181  19.99  719
  98   6.46  138  12.98  719
  99   8.72  198  12.31  719
 100   4.40  340  10.83  719
 101   4.59  109   8.19  719
 102   5.40  237  10.73  719
 103   8.08  256  10.33  719
 104   6.32  283   6.93  719
 105   5.48  349   5.42  719
 106   4.21  016   5.62  719
 107   4.68  012   4.96  719
 108   3.70  194   8.57  719
 109   7.36  252  11.05  719
 110   5.76  017   3.85  719
 111   3.62  002   2.93  719
 112   4.94  199   4.85  719
 113   8.50  226  12.03  719
 114   5.02  158  10.81  719
 115   8.46  009   5.30  719
 116   8.26  126   9.29  719
 117  11.75  206  20.96  719
 118   6.63  007   6.69  719
 119   6.10  357   7.75  719
 120   7.41  341   9.41  719
 121  10.83  184  12.82  719
 122  11.65  221  23.10  719
 123   8.69  176  16.44  719
 124   5.15  005  11.31  719
 125   5.25  016   8.20  719
 126   4.93  119   8.49  719
 127   6.65  278   9.13  719
 128   5.34  044   6.50  719
 129   8.25  064   6.65  719
 130   5.68  018   7.09  719
 131   4.77  031   6.86  719
 132   2.93  030   9.23  719
 133   3.38  137  11.76  719
 134   5.08  160  14.51  719
 135   5.57  178  14.66  719
 136   4.56  138  14.81  719
 137   2.50  084  14.15  719
 138   5.71  115  15.42  719
 139   7.53  160  17.83  719
 140   6.16  156  19.62  719
 141   7.11  190  24.05  719
 142   3.90  166  22.90  719
 143   5.34  264  22.69  719
 144   4.16  071  16.64  719
 145   8.51  212  25.56  719
 146   6.93  245  21.74  719
 147   9.15  031  12.86  719
 148  13.65  034   9.04  719
 149  10.98  024   9.63  719
 150   4.26  047  12.51  719
 151   5.00  185  16.52  719
 152   3.81  172  15.85  719
 153   2.92  044  15.64  719
 154   3.90  177  18.74  719
 155   7.65  245  26.12  719
 156   8.55  215  26.70  719
 157   8.15  196  26.21  719
 158   7.48  184  23.66  719
 159   3.35  137  21.91  719
 160   2.82  067  22.21  719
 161   3.37  018  20.72  719
 162   2.27  027  22.67  719
 163   3.43  015  22.92  719
 164   4.08  015  22.68  719
 165   6.61  342  21.61  719
 166   4.44  347  19.58  719
 167   6.20  009  17.68  719
 168   4.61  141  20.22  719
 169   7.30  160  23.82  719
 170   6.52  218  25.77  719
 171   3.32  028  20.12  719
 172   8.93  317  19.97  719
 173   5.70  288  17.59  719
 174  10.05  190  20.54  719
 175  10.26  185  21.79  719
 176   7.93  189  21.76  719
 177   7.50  185  22.74  719
 178   9.06  220  24.31  719
 179   3.28  068  19.27  719
 180   4.30  200  23.69  719
 181   3.82  183  23.85  719
 182   6.65  357  20.12  719
 183   6.88  005  17.69  719
 184   4.93  300  21.78  719
 185   5.98  261  25.55  719
 186   7.85  245  28.06  719
 187   7.94  238  28.64  719
 188   5.69  238  25.33  719
 189   6.36  005  18.33  728
 190   4.74  349  18.18  719
 191   5.54  092  20.21  719
 192   9.61  054  20.16  719
 193   5.31  050  20.07  719
 194   3.17  008  21.00  719
 195   6.34  222  25.25  719
 196   8.93  228  24.02  719
 197   5.97  023  19.97  719
 198   7.54  001  19.96  719
 199   4.77  024  20.96  719
 200   3.35  009  21.30  719
 201   3.69  221  23.74  719
 202   6.07  006  20.05  719
 203   3.18  077  21.41  719
 204   5.96  174  25.66  719
 205   7.17  214  27.53  719
 206   3.46  317  25.92  719
 207   3.65  285  26.12  719
 208   4.74  226  27.07  689
 209   3.56  232  27.74  719
 210   7.65  254  26.60  719
 211   8.62  012  20.51  719
 212   3.24  042  20.90  719
 213   7.90  342  21.73  719
 214   5.47  080  21.14  719
 215   3.22  133  22.34  719
 216   3.03  133  23.50  731
 217   4.24  176  24.69  719
 218   7.44  205  25.08  719
 219   5.54  178  23.99  719
 220   8.71  190  27.17  719
 221   8.96  192  24.15  719
 222   6.01  217  27.30  719
 223   9.24  208  25.97  719
 224   8.57  229  27.11  719
 225   4.78  314  23.29  719
 226   5.13  061  22.98  719
 227   4.96  104  22.42  719
 228   4.36  089  22.22  719
 229   3.36  094  23.00  719
 230   3.99  072  24.03  719
 231   2.05  076  24.72  719
 232   2.49  093  25.05  719
 233   5.27  171  26.10  719
 234   6.55  342  23.72  719
 235   3.89  136  24.26  719
 236   5.87  195  27.85  719
 237   5.92  172  25.53  719
 238   4.98  170  25.08  719
 239   5.92  145  25.52  719
 240   6.77  190  28.06  719
 241   8.26  216  27.86  719
 242   4.61  340  24.61  719
 243   3.92  090  24.22  719
 244   9.14  044  22.52  719
 245   5.92  098  22.08  719
 246   6.47  137  22.27  719
 247   7.17  189  21.81  719
 248   6.89  295  21.89  719
 249   5.85  316  22.16  719
 250   8.97  197  23.36  719
 251   7.30  290  21.81  719
 252   5.77  348  19.27  719
 253   4.85  165  20.96  719
 254   7.38  199  23.47  719
 255   7.33  225  25.53  719
 256   3.51  053  22.29  719
 257   8.55  224  25.41  719
 258   5.90  344  19.87  719
 259   5.04  123  21.41  719
 260   5.81  188  24.31  719
 261   7.22  014  21.73  719
 262   4.81  097  22.16  719
 263   7.68  167  23.76  719
 264   9.70  276  20.39  719
 265  14.46  008  16.87  719
 266  10.98  336  15.24  719
 267   8.44  233  18.68  719
 268   8.47  270  16.87  719
 269   9.62  235  20.58  719
 270   9.16  217  22.29  719
 271   6.78  034  18.05  719
 272   3.96  095  18.84  719
 273   3.62  101  19.42  719
 274   5.31  131  20.50  719
 275   6.23  179  21.93  719
 276   4.52  194  20.66  719
 277   5.97  345  19.04  719
 278   7.73  031  18.66  719
 279   6.24  068  18.67  719
 280   5.35  105  19.71  719
 281   2.66  165  19.82  719
 282   3.98  155  19.83  719
 283   8.77  170  22.71  719
 284   9.06  185  22.64  719
 285   7.97  219  17.51  719
 286   4.26  180  17.89  719
 287   6.84  222  19.91  719
 288   5.81  308  16.85  719
 289   8.53  289  12.36  719
 290   6.82  280  13.77  719
 291   4.34  245  16.85  719
 292   6.63  202  18.29  719
 293   7.84  195  17.53  719
 294   9.51  249  14.48  719
 295   5.62  319  10.20  719
 296   4.82  337   9.88  719
 297   8.24  089  11.06  719
 298  16.37  045  10.73  719
 299   7.78  021  11.39  719
 300   6.43  105  10.95  719
 301   9.76  104  11.89  719
 302  10.49  049  13.28  719
 303  11.63  010  12.87  719
 304   7.25  301  10.85  719
 305   7.94  286   6.93  719
 306   7.31  284   5.54  719
 307   5.11  300   5.03  719
 308   4.56  278   5.51  719
 309   7.39  203   7.83  719
 310   8.53  200   9.21  719
 311   7.44  207  12.70  719
 312   8.49  203  13.72  719
 313   5.25  007  13.50  719
 314   6.77  079  11.95  719
 315  10.68  179  11.97  719
 316   9.82  228   5.72  719
 317   9.01  272   3.50  719
 318  10.80  249   2.72  719
 319   6.39  273   1.21  719
 320   5.57  151   4.85  719
 321   9.91  214  13.13  719
 322  11.51  276   3.42  719
 323   7.50  257   1.26  719
 324   9.72  197   4.95  719
 325   6.08  227   8.43  719
 326   9.04  297   0.27  741
 327   6.99  249   1.45  719
 328  13.74  193   6.42  719
 329   9.04  277   6.90  719
 330   7.04  288  -3.64  719
 331   7.42  196   1.14  719
 332   9.35  305   1.90  719
 333   7.12  239   2.36  719
 334   7.81  278   5.63  719
 335   5.69  194   6.27  719
 336   9.73  261  10.84  719
 337   3.59  058   7.33  719
 338   5.63  327   3.98  719
 339   7.93  135   3.65  719
 340  11.86  275   1.67  719
 341   6.23  262  -7.39  719
 342   7.52  239  -2.46  719
 343   8.31  162   2.24  719
 344   5.55  070   6.53  719
 345  12.29  236   7.82  719
 346  10.35  225   4.53  719
 347   8.92  210   5.94  719
 348   4.83  150   6.58  719
 349  12.23  187  11.98  719
 350  16.04  229  10.51  719
 351   7.12  314   0.94  719
 352   8.46  037   3.18  719
 353   5.91  304   0.55  719
 354   9.80  212   1.75  719
 355   7.55  274   2.91  719
 356   8.29  284  -3.08  719
 357   7.66  186   1.79  719
 358   6.95  178   6.74  719
 359   7.54  331   8.09  719
 360   4.32  044   3.70  719
 361   9.58  127   4.48  719
 362   7.18  114   1.93  719
 363   5.93  288   2.11  719
 364   4.87  095   1.38  719
 365   4.81  180   2.89  715
