Input File=/chi/archive/chi2023.04t.avg
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2023
Min WS =    0.0 m/s   Max WS =   27.8 m/s
Min WD =    0.0 deg   Max WD =  360.0 deg
Min AT =  -16.0 C     Max AT =   36.6 C

 Daily Averages
 DOY    WS    WD    AT     n
   1   3.92  180     4.3  719
   2   3.11  336    3.84  719
   3   5.55   16    3.81  719
   4   4.99  262    4.09  719
   5    6.5  234    0.94  719
   6   5.83  264   -0.29  719
   7   4.29  335   -1.13  719
   8   3.22   18   -0.02  719
   9   6.39  230   -0.05  719
  10   6.52  175    4.25  719
  11   4.16  157    4.93  719
  12   8.58  344    3.31  719
  13  12.48  340    0.39  719
  14   5.45  273   -2.48  719
  15   9.37  177    -0.4  719
  16   8.83  160    3.54  719
  17  10.33  238    6.06  719
  18   5.15  317    3.01  719
  19   6.98  150    3.62  719
  20   9.04  284    1.27  719
  21   5.62  252   -0.88  719
  22   4.03  209    -0.2  719
  23   6.82  286   -2.51  719
  24   7.57  231   -0.59  719
  25   5.55  101    0.55  719
  26    7.8  282   -1.72  719
  27  10.98  218   -4.36  719
  28   6.55  307   -3.59  719
  29   6.43    4   -2.25  719
  30   6.76  320   -8.79  719
  31   5.69  292   -12.3  719
  32   7.25  232   -8.21  719
  33   8.95  241   -1.89  719
  34   8.45  312  -11.76  719
  35  10.23  195   -4.96  719
  36   9.99  232     4.0  719
  37   5.37   36    0.92  719
  38  12.01  227    5.27  719
  39   4.91  245    1.29  719
  40    8.0   79    3.14  719
  41   7.92  290    2.37  719
  42   5.48  252    1.52  719
  43   6.31  230    5.75  719
  44    7.5  261    6.39  719
  45   6.93  169    5.48  719
  46  13.33  224    7.91  719
  47   8.25   12    1.51  719
  48   5.87  324   -3.68  719
  49   9.01  212    0.37  719
  50   10.8  212    6.47  719
  51   4.65  341    2.82  719
  52   8.39  268    1.13  719
  53   9.58   79    0.95  719
  54   9.51  148    2.03  719
  55   7.68  326   -4.42  719
  56   5.57  219   -0.97  719
  57   6.59  221    1.88  719
  58   9.44  126    6.05  719
  59   7.74  323    3.88  719
  60   5.34   98    4.03  719
  61   7.08  335    3.06  719
  62    7.8   58     1.9  719
  63   6.27  271    3.51  719
  64   5.05  332    3.55  719
  65   7.54  106    4.54  719
  66    8.5   10    2.72  719
  67   7.05   79     2.9  719
  68   8.12   70    3.06  719
  69   8.36   43    1.34  719
  70   6.73   37    1.72  719
  71    7.0  124     1.5  719
  72   9.67  299   -0.78  719
  73   6.77  339   -2.68  719
  74   6.67  185    1.63  719
  75  11.49  193    6.63  719
